date,"M2 growth, YoY % (18m earlier)","CPI inflation, YoY %"
1980-07-01,7.181370633742268,13.15068493150684
1980-08-01,7.180644157460714,12.890094979647216
1980-09-01,7.398808141784707,12.768817204301076
1980-10-01,7.828962547104501,12.632978723404253
1980-11-01,7.607783288821057,12.631578947368416
1980-12-01,7.925673113386433,12.353706111833551
1981-01-01,8.352212656698388,11.794871794871797
1981-02-01,8.481439820022496,11.392405063291132
1981-03-01,8.110921121106252,10.611735330836458
1981-04-01,7.985803016858917,10.135970333745359
1981-05-01,7.850206003531501,9.79192166462668
1981-06-01,7.89107678793648,9.696969696969692
1981-07-01,8.100029163021304,10.774818401937058
1981-08-01,8.470639471583086,10.817307692307686
1981-09-01,8.070908697845347,10.96543504171632
1981-10-01,7.139291063404896,10.271546635182993
1981-11-01,7.247198978868252,9.579439252336464
1981-12-01,7.463106113843998,8.912037037037024
1982-01-01,7.715361025926959,8.25688073394495
1982-02-01,7.942762339278309,7.613636363636367
1982-03-01,8.238206574061335,6.884875846501148
1982-04-01,8.511366748835925,6.621773288439958
1982-05-01,8.854628555836008,6.911928651059096
1982-06-01,8.548748219010793,7.182320441988943
1982-07-01,8.383354690766831,6.557377049180335
1982-08-01,8.311027837259077,5.965292841648595
1982-09-01,9.121824364872966,4.940923737916236
1982-10-01,10.451338037544943,5.032119914346889
1982-11-01,10.043639248875946,4.47761194029852
1982-12-01,9.233586188856924,3.825717321997879
1983-01-01,8.825622775800724,3.7076271186440746
1983-02-01,8.504642971501752,3.484688489968324
1983-03-01,8.38627700127066,3.5902851108764455
1983-04-01,8.645169432700195,4.0000000000000036
1983-05-01,8.79237951995988,3.44108446298228
1983-06-01,9.725607850490658,2.4742268041237248
1983-07-01,10.168014934660864,2.358974358974364
1983-08-01,9.625602372420627,2.456499488229258
1983-09-01,9.159792239535602,2.763561924257929
1983-10-01,8.72709739633557,2.752293577981657
1983-11-01,9.09691762302469,3.1632653061224536
1983-12-01,9.32710727969348,3.7871033776867957
1984-01-01,8.900648076580042,4.290091930541351
1984-02-01,8.900430856400865,4.693877551020398
1984-03-01,8.92731535756155,4.892966360856277
1984-04-01,8.578730324679107,4.5546558704453455
1984-05-01,8.490783410138247,4.3346774193548265
1984-06-01,8.567359726573631,4.325955734406439
1984-07-01,10.67555354722096,4.308617234468937
1984-08-01,12.528178539224522,4.295704295704317
1984-09-01,12.807881773399021,4.2828685258964105
1984-10-01,12.466740576496683,4.265873015873023
1984-11-01,12.551632979016357,4.154302670623156
1984-12-01,12.463038002409377,4.043392504930954
1985-01-01,12.737497270146324,3.52595494613126
1985-02-01,12.400411901793952,3.6062378167641462
1985-03-01,12.091696712048638,3.790087463556846
1985-04-01,12.271317000106997,3.581800580832528
1985-05-01,12.13231390039291,3.5748792270531515
1985-06-01,11.411931371005824,3.6644165863066513
1985-07-01,9.115035214861678,3.458213256484166
1985-08-01,8.088345770521354,3.3524904214559337
1985-09-01,7.9446208813021,3.2473734479465
1985-10-01,8.043767558775672,3.2350142721217834
1985-11-01,7.888040712468203,3.5137701804368593
1985-12-01,7.878079657220738,3.791469194312791
1986-01-01,7.685602208339382,3.9735099337748325
1986-02-01,7.536525386952109,3.19849482596426
